id,name,originalAmountStaked,stakeTime
db1f54e1aa84d16756e64bef71362f0d6bc0ee18af25a6581a239afa8c2f74f1,ergopad Stake Key,3010641.93,2022-02-27 21:30:27.412025
d547395c05dde733b75b6a35517a958915555a199d0b652931e844ade0068635,ergopad Stake Key,1000000.0,2022-03-01 17:48:02.340470
147b2789ed1f2a0e60ab325c0bddae94a08a1c6dd23d5010b82318a1870294c7,ergopad Stake Key,1000000.0,2022-03-03 22:43:04.496828
7c0d1d22e0f366a048519357281bd13bbe8e7320665bc1b45cb0adcfe64f2bd3,ergopad Stake Key,1000000.0,2022-03-01 17:40:58.156367
cb8cf1cf971177767b7429241353576643e8efe88cc0e13e588fef99e6439e97,ergopad Stake Key,666666.0,2022-02-28 02:16:20.097260
85844a18657774dd430d6e8d7cd90f6ec9b50ef166a8ff21b8e2383aab45383f,ergopad Stake Key,535353.32,2022-02-28 01:45:08.015809
6de153bbeb2cddc08229c36100c2097a23147d43d5bcd506f15add7ecbd228bb,ergopad Stake Key,500634.66,2022-02-27 21:59:55.880988
f769be443e4715ecb09ab8f5a449b304b7cda01f66bf1a0a3344ba61165435a9,ergopad Stake Key,500005.59,2022-02-28 03:29:07.472945
cfccf46a40bc25bd345eb8f429dc3addabbb296fa29a983c6b52bb3242a42a0e,ergopad Stake Key,444426.66,2022-02-28 02:19:29.607355
7a41e485cbab1822839983765bb0b7b884782fd7b3ad5f6469be6267e34485b0,ergopad Stake Key,429807.95,2022-02-27 20:46:58.995302
edc6773829e5d7a3ca3b148c59e29c7e0fbe2f84848f0489faec395e1475a8f7,ergopad Stake Key,424426.66,2022-02-28 15:47:22.732401
5ffbc49842f3401678e618c1bee08ffcc081762b15b664b0ca42dd38e82f2891,ergopad Stake Key,420186.98,2022-03-02 12:05:44.550578
6c264e29e48e41fbd626f5a9afdc7ed7b8f1e0903a366b83734d586279ff682c,ergopad Stake Key,400000.0,2022-02-28 15:33:14.830690
d82a985f19efa433e50cc4a7f7aedc5c11a9f74ced20e58d1d9042f9139aa3ef,ergopad Stake Key,377760.0,2022-03-04 17:23:16.206994
aa698e23fa8c56205e643a3f748ceacb1cee90c5ae520caa73f7576de09d5d23,ergopad Stake Key,333333.32,2022-02-27 23:31:14.226797
86f01bb5909de1a78311fd898a6f44eeb5d81fcff5ef193e2258949f12ce1147,ergopad Stake Key,333333.32,2022-03-02 06:17:05.579224
2c9a9045a1d3a890c5e813ed56f7f2250e299caf6ccf6629efe647d8d1a6f0f7,ergopad Stake Key,289961.93,2022-03-13 10:32:24.244679
6aacf40e6a0b3b4006f0a8c4d173c8a15ab5288daf83f15bb4da4f6e5aa43139,ergopad Stake Key,277780.33,2022-02-28 04:14:38.021717
a1382ed736de1200d77026a5b356ee09b288cc9fca04150e87e231afdfa5e9f3,ergopad Stake Key,276703.88,2022-03-02 10:03:13.551156
b76e196905a0f0559d28ba7f9dd346660e6c343739f4f90a4499a97af85299ad,ergopad Stake Key,250348.73,2022-02-28 01:26:43.249461
e74d4d1003040c9b2cf02e8380bad2e025731462f7a7a3948fd9f636e80e65a6,ergopad Stake Key,250002.58,2022-02-28 08:22:36.826234
bafc3dbb52720bab21ce5a525f657573e93f0d11036204508745791267aa84b8,ergopad Stake Key,250000.0,2022-03-02 00:32:36.337827
