Uninstalls by OS
Date,Chrome OS,Linux,Mac OS,Other,Windows
8/8/22,0,0,3,0,3
8/9/22,2,0,3,0,2
8/10/22,1,0,1,0,8
8/11/22,0,0,0,0,5
8/12/22,0,1,1,0,6
8/13/22,0,1,0,0,5
8/14/22,0,0,0,0,8
8/15/22,2,0,0,0,9
8/16/22,0,0,2,0,13
8/17/22,0,0,1,0,5
8/18/22,0,0,0,0,11
8/19/22,1,0,3,0,3
8/20/22,0,1,3,0,5
8/21/22,0,0,3,0,10
8/22/22,0,0,2,0,5
8/23/22,0,0,2,0,7
8/24/22,0,0,3,0,5
8/25/22,0,0,1,0,14
8/26/22,1,0,2,0,14
8/27/22,3,0,0,0,8
8/28/22,0,1,5,0,6
8/29/22,1,1,2,0,15
8/30/22,0,2,3,0,13
8/31/22,0,1,1,0,6
9/1/22,0,0,1,0,18
9/2/22,0,0,1,0,14
9/3/22,0,1,3,0,27
9/4/22,0,2,3,0,18
9/5/22,0,1,0,0,11
9/6/22,1,0,4,0,11
9/7/22,1,0,0,0,17
9/8/22,1,0,1,0,11
9/9/22,0,0,1,0,23
9/10/22,1,1,0,0,10
9/11/22,2,0,6,0,10
9/12/22,0,1,1,0,16
9/13/22,0,0,4,0,8
9/14/22,0,0,1,0,23
9/15/22,0,2,3,0,54
9/16/22,0,1,2,0,23
9/17/22,0,0,3,0,18
9/18/22,0,0,2,0,9
9/19/22,1,0,3,0,10
9/20/22,0,0,6,0,18
9/21/22,0,0,2,0,4
9/22/22,0,18,3,0,6
9/23/22,0,9,3,0,9
9/24/22,0,0,0,0,10
9/25/22,0,1,1,0,8
9/26/22,0,0,0,0,8
9/27/22,0,0,2,0,11
9/28/22,1,1,3,0,5
9/29/22,0,1,1,0,13
9/30/22,0,0,1,0,10
10/1/22,0,1,0,0,4
10/2/22,0,0,3,0,5
10/3/22,0,0,4,0,10
10/4/22,0,0,4,0,15
10/5/22,0,0,1,0,9
10/6/22,0,1,0,0,5
10/7/22,0,0,0,0,7
10/8/22,0,0,2,0,3
10/9/22,0,0,2,0,5
10/10/22,0,1,2,0,11
10/11/22,0,0,0,0,5
10/12/22,0,1,3,0,8
10/13/22,0,0,3,0,2
10/14/22,0,0,3,0,9
10/15/22,0,0,0,0,12
10/16/22,0,0,0,0,11
10/17/22,0,0,1,0,9
10/18/22,0,0,2,0,9
10/19/22,0,0,1,0,10
10/20/22,0,1,0,0,6
10/21/22,2,2,2,0,10
10/22/22,1,0,0,0,10
10/23/22,0,0,0,0,10
10/24/22,0,0,0,0,10
10/25/22,0,0,2,0,6
10/26/22,0,0,1,0,4
10/27/22,0,0,1,0,9
10/28/22,0,0,0,0,1
10/29/22,0,1,1,0,4
10/30/22,0,1,4,0,2
10/31/22,1,1,0,0,11
11/1/22,0,2,0,0,10
11/2/22,0,1,1,0,6
11/3/22,0,1,1,0,7
11/4/22,0,0,1,0,5
11/5/22,1,0,0,0,5
11/6/22,0,0,2,0,4
11/7/22,0,0,0,0,3
11/8/22,0,0,0,0,2
11/9/22,2,0,1,0,10
11/10/22,0,0,1,0,12
11/11/22,0,0,2,0,12
11/12/22,0,0,2,0,8
11/13/22,0,1,1,0,7
11/14/22,0,0,3,0,11
11/15/22,0,1,1,0,6
11/16/22,0,0,0,0,7
