Installs by language
Date,Arabic,Bulgarian,Catalan,Chinese (China),Chinese (Taiwan),Croatian,Czech,Danish,Dutch,English,English (United Kingdom),English (United States),Estonian,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Norwegian,Persian,Polish,Portuguese (Brazil),Portuguese (Portugal),Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese,en-ca,fr-ca
1/29/22,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1/30/22,0,0,0,0,0,0,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0
1/31/22,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2/1/22,0,0,0,1,0,0,0,0,0,0,3,18,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2/2/22,0,0,0,1,0,0,0,0,0,0,3,17,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0
2/3/22,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2/4/22,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2/5/22,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2/6/22,0,0,0,0,0,0,0,0,0,0,4,12,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2/7/22,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/22,0,0,0,1,0,0,0,0,0,0,3,21,0,0,1,1,0,0,0,1,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/22,0,0,0,1,0,0,0,0,1,0,3,9,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2/10/22,0,0,0,0,1,0,0,0,1,0,3,16,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/11/22,0,0,0,1,0,0,1,1,0,0,4,15,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2/12/22,0,0,0,7,0,0,1,0,0,0,11,52,0,1,2,5,1,0,1,7,1,0,0,0,0,0,0,0,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0
2/13/22,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0
2/14/22,0,0,0,0,1,0,0,0,1,0,3,46,0,1,1,0,0,0,0,20,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0,0,2,0,0,0,0
2/15/22,0,0,0,3,0,0,0,0,2,0,11,38,0,0,3,0,0,0,1,11,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
2/16/22,0,0,0,0,0,0,0,0,1,0,7,17,0,0,0,6,1,1,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2/17/22,0,0,0,3,0,0,0,0,0,0,6,19,0,0,1,4,0,0,0,7,0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2/18/22,0,0,0,2,0,0,0,0,0,0,5,19,0,1,1,1,0,0,0,9,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/22,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2/20/22,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/22,0,0,0,0,1,0,0,0,0,0,2,14,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
