Installs by OS
Date,Chrome OS,Linux,Mac OS,Other,Windows
7/13/22,4,1,2,5,12
7/14/22,4,1,2,2,15
7/15/22,2,0,5,4,17
7/16/22,2,0,4,2,17
7/17/22,4,0,4,5,23
7/18/22,2,1,1,3,7
7/19/22,2,1,4,3,15
7/20/22,2,1,2,3,14
7/21/22,1,0,1,2,11
7/22/22,2,0,2,6,10
7/23/22,2,1,6,4,15
7/24/22,4,0,4,4,18
7/25/22,2,1,0,5,21
7/26/22,2,0,2,2,17
7/27/22,2,1,0,4,15
7/28/22,2,0,1,2,14
7/29/22,2,1,0,2,12
7/30/22,2,2,2,1,12
7/31/22,4,0,1,4,13
8/1/22,3,2,1,3,19
8/2/22,3,0,2,8,20
8/3/22,2,4,2,8,20
8/4/22,2,0,4,5,17
8/5/22,3,1,3,4,15
8/6/22,3,0,1,5,23
8/7/22,4,0,3,3,19
8/8/22,2,0,5,2,17
8/9/22,3,0,4,4,16
8/10/22,2,2,3,2,29
8/11/22,2,1,5,8,40
8/12/22,2,4,8,2,56
8/13/22,6,2,11,3,50
8/14/22,4,0,2,3,35
8/15/22,5,2,8,3,32
8/16/22,2,1,5,7,38
8/17/22,2,2,2,3,20
8/18/22,3,1,0,4,26
8/19/22,3,0,3,6,23
8/20/22,3,2,3,3,27
8/21/22,4,1,6,4,36
8/22/22,2,1,7,5,27
8/23/22,3,2,4,4,48
8/24/22,2,0,4,4,34
8/25/22,2,1,0,2,38
8/26/22,2,4,8,8,98
8/27/22,6,0,6,7,101
8/28/22,4,0,7,4,38
8/29/22,2,3,9,18,45
8/30/22,3,4,9,25,78
8/31/22,3,17,4,17,50
9/1/22,3,6,5,101,75
9/2/22,2,2,8,25,45
9/3/22,3,6,18,83,233
9/4/22,5,5,21,77,147
9/5/22,4,3,17,77,160
9/6/22,7,2,17,28,126
9/7/22,8,1,9,7,80
9/8/22,2,1,3,9,64
9/9/22,5,2,8,10,54
9/10/22,7,1,3,8,36
9/11/22,1,4,12,3,62
9/12/22,0,1,11,20,90
9/13/22,2,1,16,11,72
9/14/22,1,5,16,9,159
9/15/22,1,3,77,12,758
9/16/22,1,3,19,10,161
9/17/22,2,1,6,8,79
9/18/22,1,2,12,7,83
9/19/22,2,0,8,5,65
9/20/22,0,0,5,5,30
9/21/22,2,3,3,5,34
9/22/22,1,8,3,6,19
9/23/22,2,8,4,3,22
9/24/22,1,0,2,17,47
9/25/22,0,2,6,4,26
9/26/22,0,0,3,6,24
9/27/22,0,1,4,4,10
9/28/22,1,1,4,4,19
9/29/22,0,1,1,8,21
9/30/22,0,1,1,6,16
10/1/22,0,1,1,7,8
10/2/22,0,1,4,11,23
10/3/22,0,1,4,5,55
10/4/22,0,1,7,3,44
10/5/22,0,0,2,4,28
10/6/22,0,2,2,4,30
10/7/22,1,1,4,7,23
10/8/22,1,0,2,3,18
10/9/22,2,2,1,3,15
10/10/22,0,1,2,2,18
